GridType,SeedSpacing,k,nTrain,Superpixels,Time,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,5000,1426,5.8299853801727295,12544,306,90405,112,0.9959561562200703,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933
square,10,4,5000,1426,2.4992029666900635,12544,306,90405,112,0.9959561562200703,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933
square,10,5,5000,1426,4.4582273960113525,12544,306,90405,112,0.9959561562200703,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933
square,20,3,5000,345,4.926247596740723,12656,9075,81636,0,0.9122060231988932,0.10004299368323577,0.0,1.0,0.8999570063167642
square,20,4,5000,345,3.299956798553467,12626,198,90513,30,0.9977942670291292,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839
square,20,5,5000,345,6.61799693107605,12626,198,90513,30,0.9977942670291292,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839
square,30,3,5000,160,4.695117235183716,12656,340,90371,0,0.9967107490785261,0.0037481672564518083,0.0,1.0,0.9962518327435482
square,30,4,5000,160,3.41184663772583,12656,340,90371,0,0.9967107490785261,0.0037481672564518083,0.0,1.0,0.9962518327435482
square,30,5,5000,160,3.564089775085449,12656,340,90371,0,0.9967107490785261,0.0037481672564518083,0.0,1.0,0.9962518327435482
square,40,3,5000,96,4.145940065383911,12616,231,90480,40,0.9973782735302369,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813
square,40,4,5000,96,2.370225429534912,12616,231,90480,40,0.9973782735302369,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813
square,40,5,5000,96,3.0203208923339844,12616,231,90480,40,0.9973782735302369,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813
hex,10,3,5000,1020,3.852130889892578,12582,397,90314,74,0.9954434200470169,0.004376536472974612,0.005847029077117573,0.9941529709228825,0.9956234635270254
hex,10,4,5000,1020,2.9896271228790283,12539,354,90357,117,0.9954434200470169,0.003902503555246883,0.009244627054361567,0.9907553729456384,0.9960974964447531
hex,10,5,5000,1020,3.762979030609131,12539,354,90357,117,0.9954434200470169,0.003902503555246883,0.009244627054361567,0.9907553729456384,0.9960974964447531
hex,20,3,5000,270,4.0437963008880615,12626,228,90483,30,0.9975040390066462,0.002513476866091213,0.002370417193426043,0.997629582806574,0.9974865231339088
hex,20,4,5000,270,2.773085117340088,12626,228,90483,30,0.9975040390066462,0.002513476866091213,0.002370417193426043,0.997629582806574,0.9974865231339088
hex,20,5,5000,270,3.72438907623291,12626,228,90483,30,0.9975040390066462,0.002513476866091213,0.002370417193426043,0.997629582806574,0.9974865231339088
hex,30,3,5000,126,4.418984889984131,12656,318,90393,0,0.9969235829616803,0.0035056387869166913,0.0,1.0,0.9964943612130833
hex,30,4,5000,126,9.35614275932312,12656,318,90393,0,0.9969235829616803,0.0035056387869166913,0.0,1.0,0.9964943612130833
hex,30,5,5000,126,2.8398728370666504,12656,318,90393,0,0.9969235829616803,0.0035056387869166913,0.0,1.0,0.9964943612130833
hex,40,3,5000,65,3.1358401775360107,12654,341,90370,2,0.9966817262762777,0.003759191277794314,0.00015802781289506955,0.9998419721871049,0.9962408087222057
hex,40,4,5000,65,2.8574881553649902,12654,341,90370,2,0.9966817262762777,0.003759191277794314,0.00015802781289506955,0.9998419721871049,0.9962408087222057
hex,40,5,5000,65,3.206265926361084,12654,341,90370,2,0.9966817262762777,0.003759191277794314,0.00015802781289506955,0.9998419721871049,0.9962408087222057
