date,AVG(Temp),AVG(Press),AVG(Cond),AVG(Salinity),AVG(DO),AVG(rawO2),AVG(OxySat),AVG(pH),AVG(Redox)
21/01/2015 0:00,3.887467143,8.625200016,0.03825618,0.028626709,13.61107622,642.1616269,103.6731185,7.410771577,539.1326307
22/01/2015 0:01,3.73240925,3.937188833,0.038021042,0.02850375,13.68195829,640.356238,103.7884761,7.410921271,544.1582927
23/01/2015 0:01,3.652618853,4.019170179,0.037944032,0.028474663,13.72002139,639.6896863,103.8560782,7.4040688,546.1827714
24/01/2015 0:00,3.564442729,4.062505813,0.037869427,0.02845049,13.8008137,640.7492803,104.2251738,7.413348302,544.5925573
25/01/2015 0:00,3.525790708,4.088478052,0.037921719,0.028505115,13.93277377,645.6775951,105.1140735,7.431405573,545.5164763
26/01/2015 0:00,3.357435455,8.667229112,0.037851476,0.028510722,14.01358534,644.5775189,105.2527974,7.416613561,532.4846746
27/01/2015 0:00,3.380669208,3.891564625,0.037874844,0.028522115,14.04012616,646.0997791,105.516722,7.400803385,529.055507
28/01/2015 0:00,3.389219158,3.851336221,0.037938526,0.0285688,14.19092381,653.3142455,106.6748081,7.423394842,532.5989836
29/01/2015 0:00,3.400256448,3.747344625,0.037927188,0.028555844,14.30327232,658.8250777,107.5509107,7.467568198,519.3042825
30/01/2015 0:00,3.531236927,3.614619438,0.037959604,0.02853275,14.32038694,663.7798932,108.0541349,7.4875915,522.9649753
31/01/2015 0:00,3.556253128,3.609350915,0.03794283,0.028510553,14.26355041,661.9332256,107.6965917,7.473020255,528.0191761
01/02/2015 0:00,3.402679986,7.991307751,0.037760028,0.028421808,14.34459337,661.181559,107.8683245,7.481905446,527.7840576
02/02/2015 0:06,3.322979885,4.163046042,0.037649188,0.028367323,14.28229281,655.4438883,107.172738,7.4518205,529.3847751
03/02/2015 0:06,3.204909054,4.103510591,0.037526022,0.028314215,14.37208774,655.7940149,107.5077835,7.431688129,533.2902793
04/02/2015 1:55,3.117855854,4.15269164,0.037517775,0.028339697,14.37885785,653.3439797,107.3095572,7.389229674,536.3700315
05/02/2015 0:10,3.037676368,9.220093049,0.037439601,0.028305693,14.40689113,652.5127845,107.2878657,7.43239084,535.7422564
06/02/2015 0:05,2.836306138,4.128821649,0.037347287,0.028309149,14.45153832,647.6715445,107.0422505,7.346622574,540.5149179
07/02/2015 0:05,2.859676817,4.187354268,0.037645288,0.028536706,14.38131343,645.2712982,106.58951,7.179488379,540.6033717
08/02/2015 0:00,2.565994668,4.234426303,0.036503244,0.027735256,14.65221682,647.9857701,107.7416706,7.371256635,498.5057227
09/02/2015 0:00,2.729236137,4.251153029,0.036725073,0.027854048,14.45603065,644.4777192,106.767484,7.205495438,524.7831504
10/02/2015 0:00,2.748395153,4.245134284,0.037214317,0.028236326,14.44664433,644.6698503,106.7535567,7.098235567,534.0776835
11/02/2015 0:00,2.701446686,4.221478261,0.037349696,0.028361448,14.50663079,645.8444975,107.0609907,7.076561654,532.0806486
12/02/2015 16:38,2.836069902,4.193920763,0.037519002,0.028445699,14.35285133,643.2543772,106.3113206,7.0587955,536.3458799
13/02/2015 0:13,2.828154878,8.928342428,0.037383189,0.028338217,14.59854507,654.425789,108.1061043,7.330623939,530.630442
